place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUR2bU5MTVNREAE,Ashif Chakma,https://www.google.com/maps/contrib/109546606199534346599/reviews?entry=ttu,1,,31 minutes ago,2024-12-17T09:05:06,,,null,0,1,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUR2Z0pQUC13RRAB,Alok kumar,https://www.google.com/maps/contrib/115499281670896436723/reviews?entry=ttu,5,"Wait time
No wait",21 hours ago,2024-12-16T12:36:06,,,null,0,2,null,,"Wait time
No wait",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUN2aE5qR3FRRRAB,Michael Go Woei Hour (Yasa),https://www.google.com/maps/contrib/102850818539807782723/reviews?entry=ttu,4,,a week ago,2024-12-10T09:36:06,,,null,0,38,134,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURQcXV1UG93RRAB,shankar admane,https://www.google.com/maps/contrib/115642873550712512221/reviews?entry=ttu,5,,2 weeks ago,2024-12-03T09:36:06,,,null,0,84,777,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURQOUtxeXRBRRAB,Zhong Juan Ji,https://www.google.com/maps/contrib/117229951622012314869/reviews?entry=ttu,5,,2 weeks ago,2024-12-03T09:36:06,,,null,0,517,3624,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNQbzdMbFR3EAE,soumya chandra,https://www.google.com/maps/contrib/115967824300997004461/reviews?entry=ttu,4,,2 weeks ago,2024-12-03T09:36:06,,,null,0,10,278,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNQcXE3bllnEAE,Kevin Chen,https://www.google.com/maps/contrib/116366221473917648364/reviews?entry=ttu,5,,3 weeks ago,2024-11-26T09:36:06,,,null,0,6,19351,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUQzMDgtVG1RRRAB,Piyush Barnwal,https://www.google.com/maps/contrib/104693717731747241760/reviews?entry=ttu,5,"Love the aura of the place 
Visited on
Weekday

Wait time
Up to 10 min

Reservation recommended
No",4 weeks ago,2024-11-19T09:36:06,,,null,0,4,2,,"Visited on
Weekday

Wait time
Up to 10 min

Reservation recommended
No",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUQzOUxiMG53RRAB,Rashmi srivastava,https://www.google.com/maps/contrib/102484089030120484591/reviews?entry=ttu,5,"If u r interested to watch Buddha with Maa Durga at one place , then it is the place .
Here Bhagwan Bhuddha worshipped at the last stage of his life , in a Durga Cave .
A must watch place near Gaya , Bihar .
Visited on
Public holiday

Wait time
No wait",a month ago,2024-11-17T09:36:06,,,null,0,8,14,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUQzMU11aUJnEAE,manish pal,https://www.google.com/maps/contrib/112655665467518438332/reviews?entry=ttu,5,,a month ago,2024-11-17T09:36:06,,,null,0,1,4,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUMzMV9IUG1nRRAB,Radtek,https://www.google.com/maps/contrib/100743070780273854800/reviews?entry=ttu,5,,a month ago,2024-11-17T09:36:06,,,null,0,1,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUMzN2RtTmdRRRAB,Su,https://www.google.com/maps/contrib/109193012696348761215/reviews?entry=ttu,5,"
Visited on
Weekday

Wait time
No wait

Reservation recommended
No",a month ago,2024-11-17T09:36:06,,,null,0,236,614,1,"Visited on
Weekday

Wait time
No wait

Reservation recommended
No",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUMzcGZ6dUpnEAE,Saket Chitram,https://www.google.com/maps/contrib/106063067918808886059/reviews?entry=ttu,5,Loved the place and vibe..,a month ago,2024-11-17T09:36:06,,,null,0,311,497,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUMzcnVfc3NRRRAB,Kaf Ali,https://www.google.com/maps/contrib/111090933166501579466/reviews?entry=ttu,5,"Best
Visited on
Public holiday

Wait time
10-30 min",a month ago,2024-11-17T09:36:06,,,null,0,2,null,,"Visited on
Public holiday

Wait time
10-30 min",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUMzMHFqZVNBEAE,Progati Chakma,https://www.google.com/maps/contrib/115795038018714762335/reviews?entry=ttu,5,Not bad,a month ago,2024-11-17T09:36:06,,,null,0,1,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUMzN0lLZVhnEAE,Alok Kumar,https://www.google.com/maps/contrib/117148683404962661123/reviews?entry=ttu,3,,a month ago,2024-11-17T09:36:06,,,null,0,3,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUMzMUtYaGJREAE,Lotus akaadmii DANAPUR,,4,,a month ago,2024-11-17T09:36:06,,,null,0,null,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURYdzRERDdBRRAB,Priyanka Chatterjee,https://www.google.com/maps/contrib/104369627471701854508/reviews?entry=ttu,5,,a month ago,2024-11-17T09:36:06,,,null,0,18,93,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURYNnFDczZRRRAB,Utkarsh Gupta,https://www.google.com/maps/contrib/114434154210094912454/reviews?entry=ttu,5,Great place far from city to visit and feel peace. Travel between 10 am to 5 pm. Must carry your meals as their is no food court. Langoors are so friendly,a month ago,2024-11-17T09:36:06,,,null,0,7,16,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURYb3BLMnVnRRAB,Thuyquynh Le,https://www.google.com/maps/contrib/112390680551280133520/reviews?entry=ttu,5,"Do not buy an entrance ticket, the mountain has a lot of monkeys on the way and there are many people who sell cakes for 100 rupees for 1 bag of small cakes to feed the monkeys, there are many beggars and they ask for money very persistently so they follow. I went from the foot of the mountain to the top of the mountain, then they waited for me to go down and continued to follow me down the mountain. For one person, the whole village came to ask for permission. Im very upset and resentful towards Indians. If people visit, dont give them money because it will bother other visitors later! And they have the slogan namo amitabha Buddha which forces visitors to give them money. And through the mouth of a beggar, the Buddhas name is transformed into another meaning, no longer the sacred meaning of a Buddhas son!
Visited on
Weekday

Wait time
No wait

Reservation recommended
No",a month ago,2024-11-17T09:36:06,,,null,0,155,397,1,"Khong mua ve vao cong, nui co rat nhieu khi tren duong di va co nhieu nguoi an ho ban banh 100 rupee 1 boc rat nhieu tui banh nho de cho khi an, co rat nhieu an xin va ho xin tien rat dai ho di theo toi tu chan nui toi dinh nui roi ho doi toi di xuong va tiep tuc di theo xuong nui, cho 1 nguoi thi ca lang keo toi xin cho bang dc. Toi rat phien va ac cam voi nguoi an. Moi nguoi neu tham quan thi dung cho tien ho vi se lam phien den nhung nguoi tham quan sau do! Va ho co cau khau lenh nam mo a di da phat la bat buoc khach tham quan phai cho tien ho. Va qua mieng cua nguoi an an xin cau niem phat bi bien chat qua y nghia khac chu khong con y nghia thieng lieng cua nguoi con phat nua!",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSURYM1Bfd0NREAE,Khanti,https://www.google.com/maps/contrib/112556225283193665744/reviews?entry=ttu,5,,a month ago,2024-11-17T09:36:06,,,null,0,6,16,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSURYNU1pS1Z3EAE,Laxman Bhalerao,https://www.google.com/maps/contrib/116433274132702770497/reviews?entry=ttu,5,,a month ago,2024-11-17T09:36:06,,,null,0,1,1,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUNYaC02TGdRRRAB,Ravindu Hasanka,https://www.google.com/maps/contrib/116192895017197257687/reviews?entry=ttu,5,"Pragbodhi Cave is located in Bihar, India, near Bodh Gaya, and is historically significant in Buddhism. According to tradition, this cave is where Siddhartha Gautama (the Buddha) meditated before attaining enlightenment. It is said that he spent time here in deep austerities but eventually realized that extreme asceticism was not the path to enlightenment. The cave is situated on a hill and is visited by pilgrims who trace the footsteps of the Buddha. The serene and rugged environment of the cave provides a glimpse into the Buddhas early spiritual journey.",a month ago,2024-11-17T09:36:06,,,null,0,56,328,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNYNDh1a2Z3EAE,Radiant Mukesh Rs,https://www.google.com/maps/contrib/110208451137389661972/reviews?entry=ttu,4,Super,a month ago,2024-11-17T09:36:06,,,null,0,671,2334,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNYbzlQTk1nEAE,naresh kumar,https://www.google.com/maps/contrib/105031439453072017964/reviews?entry=ttu,3,"Visited on
Weekday

Wait time
Up to 10 min

Reservation recommended
No",a month ago,2024-11-17T09:36:06,,,null,0,2,41,1,"Visited on
Weekday

Wait time
Up to 10 min

Reservation recommended
No",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNYMmZ1NFV3EAE,Suman BARUA,https://www.google.com/maps/contrib/111006082233891642207/reviews?entry=ttu,1,,a month ago,2024-11-17T09:36:06,,,null,0,20,12,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNYdXBLVld3EAE,Chandan Verma,https://www.google.com/maps/contrib/106258689785357654284/reviews?entry=ttu,5,The place where price shidhartha spend six years without food no water,2 months ago,2024-10-17T09:36:06,,,null,0,17,170,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSUNYaE91aXN3RRAB,Anwarul Alam,https://www.google.com/maps/contrib/108484880864637579187/reviews?entry=ttu,5,"A holy place, quiet place. Very stiff journey. Old and infirm people may hire khatia ( small palanquin type) service @ Rs 200 only.
Visited on
Weekend

Wait time
No wait

Reservation recommended
No",2 months ago,2024-10-17T09:36:06,,,null,0,204,257,1,"Visited on
Weekend

Wait time
No wait

Reservation recommended
No",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChdDSUhNMG9nS0VJQ0FnSURudV82NTlnRRAB,Sunil Modanwal,https://www.google.com/maps/contrib/104345453501166636217/reviews?entry=ttu,5,,2 months ago,2024-10-17T09:36:06,,,null,0,7,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSURudm9YclNREAE,Pappu Kumar,https://www.google.com/maps/contrib/116670089433728457815/reviews?entry=ttu,1,BKC metro station,2 months ago,2024-10-17T09:36:06,,,null,0,23,50,1,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSURubnNTblV3EAE,Mona Sinha,https://www.google.com/maps/contrib/114765333278013552675/reviews?entry=ttu,5,"Visited on
Weekday

Wait time
No wait",2 months ago,2024-10-17T09:36:07,,,null,0,4,15,,"Visited on
Weekday

Wait time
No wait",null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSURudHMtRWRREAE,Aniket Swaraj,https://www.google.com/maps/contrib/112807196518887535026/reviews?entry=ttu,5,,2 months ago,2024-10-17T09:36:07,,,null,0,2,null,,null,null
ChIJhTNzHTcp8zkR_kS6ou3IgME,Pragbodhi Cave,ChZDSUhNMG9nS0VJQ0FnSUNucjVDZ0t3EAE,Nityanand Kr 08\EL\2020,https://www.google.com/maps/contrib/117988776240000961036/reviews?entry=ttu,5,"Visited on
Weekday

Wait time
1 hr+

Reservation recommended
No",2 months ago,2024-10-17T09:36:07,,,null,0,54,null,1,"Visited on
Weekday

Wait time
1 hr+

Reservation recommended
No",null
